message,award_title,recipient_title,nominator_title
"Thank you all for your invaluable guidance on the Pod submission. I really appreciate the time you took to analyse the problem in detail, and I’m looking forward to seeing the results. It’s fantastic that this work has the potential to reduce what would have been two months of effort. Thanks again for jumping in and giving your time — it’s truly appreciated.",POD Submission,"Manager, Engineering Support","Director, Engineering"
"Team,  Thank you all for your participation in the December NPS workshops based on the ""buyer"" (B2B) survey results.  As we have called out multiple times,  we have raised the bar again this wave,  with NPS of +48 (remembering the scale goes from +100 to -100 !)   Over the course of two days you participated in listening, brainstorming and putting yourselves in our customers shoes.  Thank you to all who showed up - many of you attending multiple sessions - with energy, enthusiasm and passion for improving experiences.  We are only at the start of our NPS rollout for this wave,  with still some teams to go and I can already tell from our kick offs that the commitment is there across everyone in Workhuman to deliver for our customers in 2026 and beyond.  Well done on some amazing sessions!",NPS Workshops Wave 2 2025 -  Customer Feedback,Customer Insight Analyst,"VP, Customer Service"
"The Upper Funnel Product campaign has rounded out the year to be the most significant brand advertising initiative of 2025, and this is the group to thank for bringing it to the world. Our approach was innovation-forward, capitalizing on the dazzling Human Intelligence 2025 Release. A big thank you to our creative partners—James, Liu, and Matt! Creative achieved documented breakthrough on YouTube, exceeding 20% relative Awareness lift at statistical significance. Annie and Ethan, you drove the strategy, planning, and in-market distribution of the message across 22 media partners including social, video, print, and a wave of podcasts. Effective brand advertising supports all stages of the customer journey. Cheers to this group!",2025 Workhuman Brand Advertising,"Director, Creative","Senior Director, Paid Media"
"Carrie, Eva, & Liu, thank you all so much for the hard work you put into creating new templates for our webinar program! You've already made some impactful shifts in the templates for 2025, but I can't wait to use the new and improved ones as we head into 2026! I appreciate the detail, strategic thinking, and creativity that went into building these out, and for looping our team in along the way. The templates are truly beautiful, and will pop so nicely once they're out in market! Thank you for the continued collaboration with our team, and for helping us make our programs the best they can be!",The Template Masterminds!,Senior Copywriter,Senior Demand Generation Specialist
"Matt and Eva, so grateful for getting to work so closely with both of you this year! Matt, not only I learned the term ""wet cement"" from you, you've been a true writing/conceptual force behind the Davos paid media assets – on top of all the great work you do for a little event called WHL. Eva, your partnership with copy strategy in alignment with optimizations for paid, organic social and email design optimization strategy has been phenomenal – your approach is equal parts thoughtful and strategic and no doubt it contributes to the effectiveness and performance of the work. Last but not least, thank you both for being just plain kind humans and a joy to work with. Here's to more and even better in '26.",Word Masters,Senior Copywriting Manager,"Director, Creative"
"Reflecting on the year as it ends - this is to highlight the resilience and teamwork you showed in 2025. Yes, there were many, many successful events. And, underlying that work was a lot of change and growth. You had to adapt to new team structures, reassignment of event leads, learning new processes, and continuing to develop the best experiences for our attendees and co-workers. As usual you did it without fanfare; quietly applying your expertise where it was needed most, thinking of the smallest details that often go unnoticed but have major impact. These things make the Experiential team better than none - cheers to you!",EOY Kudos,Senior Events Manager,"Senior Portfolio Manager, Events"
"This is an overdue shout-out to the incredible subject matter experts driving the ongoing, cross-functional work to elevate our blog.  Liu, thank you for helping us unpack all the maintenance needs, improvements, and opportunities across this part of our website. You made a complex series of ideas flow into steps toward an MPV state.  Jesse, your competitive insights and vision for differentiation have been energizing. Amanda, your accessibility expertise and ability to balance user experience with our content goals strengthen our work from the ground up. You’ve both scoped, prioritized, and planned for long-term improvements, helping build something lasting rather than just launching.  Anna, Erika, and Lucas, your writing and editorial instincts continue to sharpen our narratives. You make our content more persuasive, more on-brand, and more grounded in real-world proof points. For a top-of-funnel audience, the stories we present may be their first introduction to the brand. Thanks to your attention, we’re striking the right balance between education, value, and actionable advice for every querying audience.  This team broke a broad goal into individual streams and moved forward with critical work to achieve our 2026 vision. With your help, the blogs we've updated this year have aligned with all our H2 initiatives, from hub and spoke content marketing to brand positioning and differentiation messaging, to AEO visibility, even as the strategy evolves.   Thank you for driving the progress and impact of our blog. Your expertise, creativity, and dedication have moved us closer to our vision for a cohesive, high-impact, and sustainable platform. I deeply appreciate every contribution and look forward to what we’ll accomplish together next.",Glow-Up Architects & Momentum Makers,"Director, Creative",Senior Content Strategy Manager
"I would really like to thank each one of you for your continued support and commitment. You are always there when needed, providing guidance and solutions that make a real difference. Always following up for me on payments/invoices/ receipts/journal entries. Really appreciate the time you have each given me this year. This has all helped me so have a smooth close every month. Looking forward to working with each one of you in the new year! Enjoy the holidays!",Closing the year with appreciation!,Events Manager,Junior Financial Accountant
"....That is a direct quote not from one person, but from multiple executives about your work on the End of Year All Hands celebration deck. You took an idea and brought it to life in a way that was both engaging and inspiring. Your thoughtful use of animation and intentional design elements helped tell a clear story about the most strategic and impactful moments across our business and culture this year. You incorporated feedback seamlessly and approached every iteration with a collaborative, supportive attitude. Thank you for bringing this to life so beautifully!","""Best Presentation I've Seen""",Lead Presentation Designer,"VP, Chief of Staff"
"As 2026 nears to an end I need to acknowledge the enormous win we have realized for WH Media and Workhuman at large. When comparing our advertising capability and experience from the beginning of the year to the end, it couldn't be more different. Our store has been brought to life with native but visually interesting and engaging ads that objectively improve the experience. That experience all started with a good design and vision for where we're going and what would be commercially viable. With that vision in place this team got to work with the various integrations which often required on the fly creative solutioning and incredible patience with our ad server partner, Osmos. Creating the inventory and ad units also required us to solve quite a few unforeseen challenges given the unique white labeled nature of our catalog and experience.  On top of all this the team was held to extremely rigid deadlines where sold ads needed to launch on a specific date. This made releasing tedious and required extensive orchestration with legacy ad commitments. This series of work positions us so well to grow this business. I can't wait for us to tackle the next big thing in 2026. Well done everyone!",2026 was a HUGE win for WH Media.,Principal Engineer,"Director, Store Experience"
