,PK_PERSON,CREATED,Hire,Expire,job_title,position_title,grade_title,function_title,business_unit_name,department_name,location_title,country,location_country
0,11787039,2019-08-13,2019-08-14,,Senior Sourcing Manager,"P-00529 Manager, e-Commerce",P4,Category Management,E-commerce (Sarah Whitman),E-commerce,LOC-0031,IRELAND,IRELAND - LOC-0031
1,12751091,2020-04-01,2020-03-30,2022-12-19,e-Commerce Manager,"P-00704 Category Manager, Merchandise (Position Vacate:12/16/2022)",Salary,E-Commerce,E-commerce (Sarah Whitman),E-commerce,LOC-0001,UNITED STATES,UNITED STATES - LOC-0001
2,13524961,2020-08-05,2020-08-05,,"Director, Global Category Management","P-00953 Director, Category Management",M5,Category Management,E-commerce (Sarah Whitman),E-commerce,LOC-0003,IRELAND,IRELAND - LOC-0003
3,12990055,2020-06-09,2020-06-10,,Category Manager,P-00810 Category Manager,P3,Category Management,E-commerce (Sarah Whitman),E-commerce,LOC-0003,IRELAND,IRELAND - LOC-0003
4,22578140,2022-08-08,2022-08-08,,Senior E-Commerce Site Merchandising Specialist,P-01656 Senior E-Commerce Site Merchandising Specialist,P2,Merchandise,E-commerce (Sarah Whitman),E-commerce,Massachusetts_Remote,UNITED STATES,UNITED STATES - Massachusetts_Remote
5,21460429,2022-05-23,2022-05-18,,eCommerce Coordinator,P-02464 Gift Card Coordinator,S3,Category Management,E-commerce (Sarah Whitman),E-commerce,LOC-0003,IRELAND,IRELAND - LOC-0003
6,22382278,2022-07-27,2022-07-27,2023-05-23,"Specialist, Gift Cards ¿ Global Sourcing","P-01863 Specialist, Gift Cards ¿ Global Sourcing",P1,E-Commerce,E-commerce (Sarah Whitman),E-commerce,LOC-0003,IRELAND,IRELAND - LOC-0003
7,15933797,2021-06-03,2021-06-02,2025-08-27,"Senior Manager, E-Commerce Promotional Merchandising","P-01114 Senior Manager, E-Commerce Promotional Merchandising",M4,Merchandise,E-commerce (Sarah Whitman),E-commerce,LOC-0003,IRELAND,IRELAND - LOC-0003
8,23272343,2022-09-19,2022-09-19,2023-04-03,Senior Category Specialist,P-01765 Senior e-Commerce Manager (Close:04/01/2023),P4,E-Commerce,E-commerce (Sarah Whitman),E-commerce,LOC-0001,UNITED STATES,UNITED STATES - LOC-0001
9,9270202,2018-01-18,2018-01-16,2023-04-03,"Senior Manager, Promotional Merchandising",P-00321 Sr. Promotional Merchandising Manager (Close:04/01/2023),M4,E-Commerce,E-commerce (Sarah Whitman),E-commerce,LOC-0001,UNITED STATES,UNITED STATES - LOC-0001
10,13887958,2020-10-16,2020-10-14,,Senior Category Management Specialist,P-01377 Senior Category Management Specialist,P2,Category Management,E-commerce (Sarah Whitman),E-commerce,LOC-0031,IRELAND,IRELAND - LOC-0031
11,23357001,2022-09-21,2022-09-21,2023-05-23,E-Commerce Specialist,P-01893 E-Commerce Specialist,P1,E-Commerce,E-commerce (Sarah Whitman),E-commerce,LOC-0003,IRELAND,IRELAND - LOC-0003
12,19066006,2021-12-20,2021-12-13,,Senior Copywriter - E-Commerce and Human Engagement,P-01337 Senior Copywriter,P2,Merchandise,E-commerce (Sarah Whitman),E-commerce,USA_HQ_2,UNITED STATES,UNITED STATES - USA_HQ_2
13,20568305,2022-03-28,2022-03-28,,"Senior Manager, Sourcing","P-01330 Senior Manager, Sourcing",M4,Category Management,E-commerce (Sarah Whitman),E-commerce,UK_Remote,UNITED KINGDOM,UNITED KINGDOM - UK_Remote
14,17272137,2021-09-28,2021-09-28,2024-02-02,"Senior Manager, Category Management",P-01185 Senior Category Manager (Position Vacate:01/31/2024),M4,Category Management,E-commerce (Sarah Whitman),E-commerce,USA_HQ_2,UNITED STATES,UNITED STATES - USA_HQ_2
15,21256903,2022-05-04,2022-05-04,2024-08-07,Senior Graphic Designer,P-01480 Senior Graphic Designer (Position Vacate:08/06/2024),P2,Merchandise,E-commerce (Sarah Whitman),E-commerce,LOC-0031,IRELAND,IRELAND - LOC-0031
16,21912494,2022-06-27,2022-06-27,,E-Commerce Client Engagement Manager,P-01766 Client Engagement Manager,P3,Client Strategy,E-commerce (Sarah Whitman),E-commerce,USA_HQ_2,UNITED STATES,UNITED STATES - USA_HQ_2
17,11120824,2019-04-29,2019-04-29,2023-04-03,Senior Category Specialist,P-00473 Sr. Category Specialist (Close:04/01/2023),P2,E-Commerce,E-commerce (Sarah Whitman),E-commerce,LOC-0022,UNITED STATES,UNITED STATES - LOC-0022
18,115932,2004-08-16,2004-06-09,,Senior Data Engineer,P-02135 Senior Data Engineer,P4,Architecture,Technology (Jonathan Hyland),Technology,LOC-0003,IRELAND,IRELAND - LOC-0003
