pk_user,fk_direct_manager,job_title,effective_start_date,effective_end_date
67025,67041,Business Development Representative,2020-09-08,2020-09-11
67025,14101512,Business Development Representative,2021-02-16,2021-05-10
67025,14866910,Business Development Representative,2023-01-08,2023-01-16
67025,,Business Development Representative,2025-04-16,2025-04-18
67025,20421441,Business Development Representative,2025-06-17,2025-06-18
67028,303093,Financial Controller,2020-09-08,2020-09-11
67028,303093,"VP, Financial Controller",2023-01-16,2023-02-01
67028,27060221,"VP, Financial Controller",2024-02-27,2024-03-01
67028,67036,"VP, Financial Controller",2024-03-11,2024-03-15
67028,303093,"VP, Financial Controller",2024-03-15,2024-03-18
67028,303093,"Vice President, Controller",2024-08-27,2024-08-28
67031,3558024,,2017-03-01,2017-08-05
67031,,,2018-07-12,2023-07-28
67033,2937837,,2018-09-12,2019-04-05
67033,2937837,"SVP, Strategy & Consulting",2020-09-08,2020-09-11
67033,23616333,"SVP, Strategy & Consulting",2022-10-29,2022-11-11
67033,23616333,Workhuman Fellow,2023-02-03,2023-05-05
67033,,Workhuman Fellow,2023-06-23,2023-07-28
67035,3139985,,2015-01-10,2015-05-06
67035,3139985,Buyer,2020-09-08,2020-09-11
67035,3139985,Operations Manager,2022-12-18,2022-12-22
67035,3139985,Buyer,2023-01-16,2023-02-03
67036,67036,CEO,2020-09-08,2021-05-10
67036,,CEO,2025-04-16,2025-04-18
67041,696655,,2013-09-22,2014-12-10
67041,2937837,,2019-06-02,2019-12-07
67041,12370063,,2019-12-07,2020-06-10
67041,12370063,"VP, Sales",2020-09-08,2020-09-11
67041,14101512,"VP, Sales",2020-12-07,2020-12-15
67041,12370063,"VP, Sales",2020-12-15,2021-01-19
67041,14101512,"VP, Sales",2021-01-19,2021-02-16
67041,67033,Strategic Client Director,2022-04-03,2022-04-24
67041,,Strategic Client Director,2022-11-11,2023-07-28
67043,3558027,,2013-08-04,2013-09-22
67043,7426820,,2017-04-26,2017-04-30
67043,3558027,,2017-04-30,2017-05-18
67043,7426820,,2017-05-18,2017-07-14
67043,8324480,,2017-07-14,2017-08-05
