pk_user,fk_direct_manager,job_title,position_title,effective_start_date,effective_end_date
67025,67041,Business Development Representative,Business Development Representative,2020-09-08,2020-09-11
67025,14101512,Business Development Representative,Business Development Representative,2021-02-16,2021-05-10
67025,14101512,Business Development Representative,P-00006 Business Development Representative,2021-10-29,2022-10-24
67025,14866910,Business Development Representative,P-00006 Business Development Representative,2023-01-08,2023-01-16
67025,,Business Development Representative,P-00006 Business Development Representative,2025-04-16,2025-04-18
67025,20421441,Business Development Representative,P-00006 Business Development Representative,2025-06-17,2025-06-18
67028,303093,Financial Controller,Financial Controller & Co Sec,2020-09-08,2020-09-11
67028,303093,Financial Controller,P-00010 Financial Controller & Co Sec,2021-10-29,2022-10-24
67028,303093,"VP, Financial Controller",P-00010 Financial Controller & Co Sec,2023-01-16,2023-02-01
67028,303093,"VP, Financial Controller","P-00010 VP, Financial Controller",2023-02-01,2023-02-03
67028,27060221,"VP, Financial Controller","P-00010 VP, Financial Controller",2024-02-27,2024-03-01
67028,67036,"VP, Financial Controller","P-00010 VP, Financial Controller",2024-03-11,2024-03-15
67028,303093,"VP, Financial Controller","P-00010 VP, Financial Controller",2024-03-15,2024-03-18
67028,303093,"Vice President, Controller","P-00010 VP, Financial Controller",2024-08-27,2024-08-28
67028,303093,"Vice President, Controller","P-00010 Vice President, Controller",2024-11-28,2024-11-29
67031,3558024,,,2017-03-01,2017-08-05
67031,,,,2018-07-12,2023-07-28
67033,2937837,,,2018-09-12,2019-04-05
67033,2937837,"SVP, Strategy & Consulting","SVP, Strategy & Consulting",2020-09-08,2020-09-11
67033,2937837,"SVP, Strategy & Consulting","P-00003 SVP, Strategy & Consulting",2021-10-29,2022-10-21
67033,23616333,"SVP, Strategy & Consulting","P-00003 SVP, Strategy & Consulting",2022-10-29,2022-11-11
67033,23616333,Workhuman Fellow,P-00003 Workhuman Fellow,2023-02-03,2023-05-05
67033,,Workhuman Fellow,P-00003 Workhuman Fellow,2023-06-23,2023-07-28
67035,3139985,,,2015-01-10,2015-05-06
67035,3139985,Buyer,Buyer,2020-09-08,2020-09-11
67035,3139985,Buyer,P-00012 Buyer,2021-10-29,2022-04-15
67035,3139985,Operations Manager,P-00012 Buyer,2022-12-18,2022-12-22
